"統計期","客運人次/總計[人次]","客運人次/中運量[人次]","客運人次/高運量[人次]","平均每日客運人次[人次]","客運收入/總計[千元]","客運收入/中運量[千元]","客運收入/高運量[千元]","悠遊卡累計發卡量[張]"
"92年 4月",25791169,2638588,23152581,859706,572285,53654,518630,0
"92年 5月",18647030,1955018,16692012,601517,405126,38127,366999,0
"92年 6月",20713548,2040542,18673006,690452,453731,40417,413315,0
"92年 7月",26104763,2438488,23666275,842089,571383,48611,522772,0
"92年 8月",26946918,2434573,24512345,869255,605729,49551,556178,0
"92年 9月",26920391,2533119,24387272,897346,584196,49980,534216,0
"92年 10月",29090570,2734448,26356122,938405,643659,55017,588642,0
"92年 11月",28189502,2617447,25572055,939650,588187,48897,539290,0
"92年 12月",30489096,2799802,27689294,983519,693440,51801,641639,3282781
"93年 1月",26615701,2305839,24309862,858571,584627,46614,538014,0
"93年 2月",28581061,2581008,26000053,985554,626352,51513,574839,0
"93年 3月",30223485,2844725,27378760,974951,650144,55432,594712,0
"93年 4月",28547591,2744732,25802859,951586,619744,54638,565106,0
"93年 5月",29122328,2684095,26438233,939430,635243,53336,581907,0
"93年 6月",27682149,2528199,25153950,922738,601338,49932,551406,0
"93年 7月",30233548,2676055,27557493,975276,660841,54844,605997,0
"93年 8月",28219215,2455274,25763941,910297,611296,47739,563557,0
"93年 9月",28609682,2582343,26027339,953656,618333,50985,567348,0
"93年 10月",30245644,2688858,27556786,975666,660269,53585,606684,0
"93年 11月",30124807,2787048,27337759,1004160,654144,55242,598903,0
"93年 12月",31936745,2857639,29079106,1030218,693406,56936,636470,4895563
"94年 1月",29811881,2666065,27145816,961674,637558,0,0,0
"94年 2月",25879279,2177173,23702106,924260,568197,0,0,0
"94年 3月",31866866,2950137,28916729,1027963,686470,0,0,0
"94年 4月",29576241,2674511,26901730,985875,638890,0,0,0
"94年 5月",30251626,2735305,27516321,975859,652121,0,0,0
"94年 6月",29029861,2575815,26454046,967662,624995,0,0,0
"94年 7月",30011759,2501165,27510594,968121,650465,0,0,0
"94年 8月",30343866,2568917,27774949,978834,661654,0,0,0
"94年 9月",29408909,2545615,26863294,980297,637217,0,0,0
"94年 10月",30689307,2585674,28103633,989978,662046,0,0,0
"94年 11月",30604448,2662879,27941569,1020148,664114,0,0,0
"94年 12月",33255760,2826121,30429639,1072766,705330,0,0,6488599
"95年 1月",29452611,2488884,26963727,950084,637342,0,0,6603998
"95年 2月",28772163,2343983,26428180,1027577,624456,0,0,6735143
"95年 3月",31936004,2828156,29107848,1030194,685128,0,0,6873235
"95年 4月",29566184,2551739,27014445,985539,637531,0,0,6999305
"95年 5月",30871353,2650954,28220399,995850,663662,0,0,7126638
"95年 6月",31493316,2605636,28887680,1049777,688769,0,0,7268718
"95年 7月",32933003,2586919,30346084,1062355,722872,0,0,7448130
"95年 8月",33606001,2686805,30919196,1084065,737967,0,0,7738359
"95年 9月",33070809,2644726,30426083,1102360,719815,0,0,7956324
"95年 10月",33232773,2617523,30615250,1072025,732501,0,0,8135221
"95年 11月",33331291,2724421,30606870,1111043,732116,0,0,8315706
"95年 12月",35682052,2834617,32847435,1151034,786575,0,0,8543240
"96年 1月",34293670,2840242,31453428,1106247,751063,0,0,8754096
"96年 2月",29436141,2254117,27182024,1051291,659497,0,0,8909927
"96年 3月",36155960,2991733,33164227,1166321,783941,0,0,9127529
"96年 4月",33430442,2728166,30702276,1114348,733586,0,0,9301361
"96年 5月",34924960,2842262,32082698,1126612,763347,0,0,9467454
"96年 6月",32984025,2633431,30350594,1099468,718462,0,0,9683364
"96年 7月",35816762,2873999,32942763,1155379,784175,0,0,9859007
"96年 8月",34828039,2811220,32016819,1123485,759816,0,0,10063737
"96年 9月",33010544,2676995,30333549,1100351,726986,0,0,10314127
"96年 10月",35679396,2899163,32780233,1150948,780404,0,0,10582522
"96年 11月",36441830,3055542,33386288,1214728,797411,0,0,10965815
"96年 12月",39227916,3215379,36012537,1265417,865942,0,0,11587294
"97年 1月",36825587,3033476,33792111,1187922,802692,61562,741129,11929290
"97年 2月",33223866,2615604,30608262,1145651,730614,53118,677496,12170963
"97年 3月",38432595,3221238,35211357,1239761,841217,66585,774632,12610607
"97年 4月",36472089,3072756,33399333,1215736,799159,62742,736418,12822523
"97年 5月",38096236,3109694,34986542,1228911,832744,63381,769363,13148978
"97年 6月",36551844,2942602,33609242,1218395,757701,56768,700933,13526154
"97年 7月",38641308,3029512,35611796,1246494,801291,59336,741955,13820517
"97年 8月",39806858,3135495,36671363,1284092,837478,62436,775042,14088185
"97年 9月",34944963,2775088,32169875,1164832,757753,55782,701972,14355148
"97年 10月",39569451,3034478,36534973,1276434,865029,61172,803857,14588436
"97年 11月",37509706,2896141,34613565,1250324,817976,57560,760416,14806746
"97年 12月",39949912,2486577,37463335,1288707,869983,49511,820472,15091767
"98年 1月",34771207,2099127,32672080,1121652,767286,43119,724168,15336132
"98年 2月",36236921,2723259,33513662,1294176,788166,55611,732555,15752856
"98年 3月",38808194,3045054,35763140,1251877,845255,61076,784179,15893415
"98年 4月",37410418,2815162,34595256,1247014,814051,56330,757721,16047655
"98年 5月",37753738,2813465,34940273,1217863,826799,57163,769636,16257122
"98年 6月",36551854,2708356,33843498,1218395,792619,53827,738792,16512859
"98年 7月",41123297,4617425,36505872,1326558,861923,91263,770660,16736664
"98年 8月",37895799,3558721,34337078,1222445,796869,61099,735770,16958433
"98年 9月",38229962,4207796,34022166,1274332,800230,71249,728981,17203667
"98年 10月",40426260,4545537,35880723,1304073,848866,77864,771002,17436365
"98年 11月",39548647,4569352,34979295,1318288,827818,77921,749897,17609981
"98年 12月",43716054,5019659,38696395,1410195,916843,89593,827250,17863800
"99年 1月",40916463,4717752,36198711,1319886,874983,85943,789039,18029670
"99年 2月",34838161,3835114,31003047,1244220,743911,67610,676301,18190264
"99年 3月",42790249,5070197,37720052,1380331,914384,91549,822835,18403960
"99年 4月",40251854,4819949,35431905,1341728,857919,87257,770662,18622251
"99年 5月",41473930,4897190,36576740,1337869,882413,83600,798813,19503346
"99年 6月",39479910,4757641,34722269,1315997,839391,90722,748669,19742519
"99年 7月",42491066,4962187,37528879,1370680,902619,90516,812104,20585476
"99年 8月",42042218,4894715,37147503,1356201,895418,88962,806456,21427635
