"統計期","捷運站別","進站人次","出站人次","進站人次增減率[%]","出站人次增減率[%]"
"86年","新莊",0,0,0,0
"86年","頭前庄",0,0,0,0
"86年","先嗇宮",0,0,0,0
"86年","三重",0,0,0,0
"86年","菜寮",0,0,0,0
"86年","台北橋",0,0,0,0
"86年","大橋頭",0,0,0,0
"86年","民權西路O",0,0,0,0
"86年","中山國小",0,0,0,0
"86年","行天宮",0,0,0,0
"86年","松江南京O",0,0,0,0
"86年","忠孝新生O",0,0,0,0
"86年","東門",0,0,0,0
"86年","蘆洲",0,0,0,0
"86年","三民高中",0,0,0,0
"86年","徐匯中學",0,0,0,0
"86年","三和國中",0,0,0,0
"86年","三重國小",0,0,0,0
"86年","迴龍",0,0,0,0
"86年","丹鳳",0,0,0,0
"86年","大坪林Y",0,0,0,0
"86年","十四張",0,0,0,0
"86年","秀朗橋",0,0,0,0
"86年","景平",0,0,0,0
"86年","景安Y",0,0,0,0
"86年","中和",0,0,0,0
"86年","橋和",0,0,0,0
"86年","中原",0,0,0,0
"86年","板新",0,0,0,0
"86年","板橋Y",0,0,0,0
"86年","新埔民生",0,0,0,0
"86年","頭前庄Y",0,0,0,0
"86年","幸福",0,0,0,0
"86年","新北產業園區",0,0,0,0
"86年","一日票",5364,5364,0,0
"86年","團體票",0,0,0,0
"86年","其他",0,0,0,0
"87年","松山機場",0,0,0,0
"87年","中山國中",2531801,2353257,12.76,13.61
"87年","南京復興BR",2695828,2980906,14.03,14.53
"87年","忠孝復興BR",2401543,2647259,16.49,15.35
"87年","大安BR",1609453,1650393,16.83,19.45
"87年","科技大樓",1511963,1395741,12.13,13.01
"87年","六張犁",1572940,1412612,19.64,18.29
"87年","麟光",601968,547841,15.42,14.11
"87年","辛亥",630691,542939,17.41,17.34
"87年","萬芳醫院",2008810,2029482,26.86,26.89
"87年","萬芳社區",493103,410056,14.58,12.18
"87年","木柵",841169,875769,30.58,29.08
"87年","動物園",1174717,1227731,5.47,4.41
"87年","大直",0,0,0,0
"87年","劍南路",0,0,0,0
"87年","西湖",0,0,0,0
"87年","港墘",0,0,0,0
"87年","文德",0,0,0,0
"87年","內湖",0,0,0,0
"87年","大湖公園",0,0,0,0
"87年","葫洲",0,0,0,0
"87年","東湖",0,0,0,0
"87年","南港軟體園區",0,0,0,0
"87年","南港展覽館BR",0,0,0,0
"87年","小碧潭",0,0,0,0
"87年","新店",0,0,0,0
"87年","新店區公所",0,0,0,0
"87年","七張",0,0,0,0
"87年","大坪林",0,0,0,0
"87年","景美",0,0,0,0
"87年","萬隆",0,0,0,0
"87年","公館",0,0,0,0
"87年","台電大樓",0,0,0,0
"87年","古亭",23862,32219,0,0
"87年","中正紀念堂",21515,34048,0,0
"87年","小南門",0,0,0,0
"87年","頂溪",0,0,0,0
"87年","永安市場",0,0,0,0
"87年","景安",0,0,0,0
"87年","南勢角",0,0,0,0
"87年","台大醫院",15642,25423,0,0
"87年","台北車站BL",6472357,6070948,0,0
"87年","台北車站R",2914140,3379559,1758.76,1829.26
"87年","中山R",3126520,3420458,0,0
"87年","雙連",1001616,1188491,149.01,146.41
"87年","民權西路R",1909992,2069524,146.22,159.03
"87年","圓山",1147458,1102751,131.37,140.13
"87年","劍潭",1908849,1895585,130.06,147.54
"87年","士林",2217375,2529328,195.32,198.45
"87年","芝山",1727152,1624695,150.20,152.53
"87年","明德",1547531,1386447,155.23,153.95
"87年","石牌",2571955,2545150,168.01,176.61
"87年","唭哩岸",1024401,917518,123.88,130.33
