西元年,站名,早晨出發,早晨抵達,傍晚出發,傍晚抵達,早晨出發佔比,傍晚出發佔比,潮汐指數,工作日均運量,工作日數
2025,丹鳳,88572,14855,20263,60571,0.8563721272008277,0.2506742212435361,0.6056979059572916,10278,20
2025,景安,179659,27661,47697,133748,0.866578236542543,0.2628730469288214,0.6037051896137215,24422,20
2025,永安市場,183875,34334,54300,169561,0.8426554358436178,0.2425612321931913,0.6000942036504264,25729,20
2025,海山,196361,43054,46084,156209,0.8201699977027338,0.22780817922518326,0.5923618184775505,24906,20
2025,頂溪,229948,49397,73600,219711,0.8231684834165638,0.250928195669443,0.5722402877471208,35085,20
2025,萬芳社區,23380,3398,5749,13165,0.8731047875121368,0.30395474251876914,0.5691500449933677,2810,20
2025,大湖公園,24883,4696,8112,18702,0.8412387166570878,0.3025285298724547,0.5387101867846331,3512,20
2025,江子翠,199009,44546,70903,181922,0.8171008601753197,0.28044299416592505,0.5366578660093946,30153,20
2025,唭哩岸,52402,9896,17437,39703,0.8411505987351119,0.3051627581379069,0.535987840597205,7756,20
2025,府中,183769,37293,70477,164673,0.8313007210646787,0.2997108228790134,0.5315898981856653,31595,20
2025,麟光,30548,6223,10323,23370,0.8307633733104892,0.30638411539488913,0.5243792579156001,4630,20
2025,內湖,66971,15315,27660,67303,0.8138808545803661,0.2912713372576688,0.5226095173226972,10790,20
2025,新埔,263051,60895,99558,237566,0.8120211393256901,0.29531567019850263,0.5167054691271875,41891,20
2025,新莊,93037,27905,25783,75905,0.7692695672305734,0.25355007473841557,0.5157194924921578,11740,20
2025,迴龍,105596,26411,28514,69425,0.7999272765838176,0.2911404037206833,0.5087868728631343,12868,20
2025,土城,67397,19194,21514,52109,0.7783372405908235,0.29221846433858983,0.4861187762522337,9586,20
2025,紅樹林,110055,26219,38105,78223,0.8076008629672572,0.3275651605804278,0.4800357023868294,14996,20
2025,萬隆,68939,17889,27695,58692,0.7939719906021099,0.3205922187366155,0.4733797718654944,10858,20
2025,菜寮,83819,27901,28262,67419,0.7502595775152167,0.29537734764477797,0.4548822298704387,11684,20
2025,新店,89508,23048,29990,55509,0.7952308184370447,0.35076433642498744,0.44446648201205724,13022,20
2025,東湖,67449,27693,24795,59876,0.7089298101784701,0.2928393428682784,0.4160904673101917,9604,20
2025,新店區公所,81880,30002,34734,70121,0.7318424768953004,0.33125745076534263,0.4005850261299577,13012,20
2025,淡水,189497,42945,96720,129909,0.8152442329699452,0.4267768026157288,0.3884674303542164,33990,20
2025,三重,68233,24315,29701,53818,0.7372714699399231,0.3556196793543984,0.3816517905855247,9932,20
2025,竹圍,54531,21333,27906,51769,0.7187994305599494,0.3502478820207091,0.3685515485392403,9879,20
2025,頭前庄,42855,14936,19352,30126,0.7415514526483362,0.3911233275395125,0.3504281251088237,6155,20
2025,亞東醫院,181572,68244,78099,123868,0.7268229416850802,0.38669188530799586,0.34013105637708435,28758,20
2025,小碧潭,18267,8491,11256,20451,0.6826743403841842,0.3550004730816539,0.3276738673025303,3464,20
2025,復興崗,27458,11204,13084,20056,0.7102064042211991,0.3948098974049487,0.31539650681625037,4247,20
2025,永寧,83514,38151,45823,74396,0.6864258414498828,0.3811627113850556,0.30526313006482725,14702,20
2025,北投,102010,51685,59079,92579,0.6637171020527668,0.38955412836777487,0.27416297368499193,19321,20
2025,七張,87611,50924,51026,85317,0.6324105821633522,0.3742473027584841,0.2581632794048681,16204,20
2025,葫洲,57404,30864,36678,52736,0.6503376081932297,0.41020421857874606,0.24013338961448366,9816,20
2025,後山埤,84647,43616,61416,84434,0.6599486991572004,0.4210901611244429,0.23885853803275753,17776,20
2025,萬芳醫院,69681,41721,44884,69108,0.6254914633489524,0.39374692960909535,0.2317445337398571,13160,20
2025,板橋,185277,113672,149708,227556,0.6197612301763846,0.3968255651215064,0.22293566505487822,43508,20
2025,景美,78600,46079,61912,82429,0.6304189157757121,0.4289287174122391,0.20149019836347298,17109,20
